Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle, set apart for the Good News of God,
1 Corinthians 8:6	yet to us there is one God, the Father, of whom are all things, and we for him; and one Lord, Jesus Christ, through whom are all things, and we live through him.
1 Corinthians 8:7	However, that knowledge isn’t in all men. But some, with consciousness of the idol until now, eat as of a thing sacrificed to an idol, and their conscience, being weak, is defiled.
1 Corinthians 8:8	But food will not commend us to God. For neither, if we don’t eat, are we the worse; nor, if we eat, are we the better.
1 Corinthians 8:9	But be careful that by no means does this liberty of yours become a stumbling block to the weak.
1 Corinthians 8:10	For if a man sees you who have knowledge sitting in an idol’s temple, won’t his conscience, if he is weak, be emboldened to eat things sacrificed to idols?
1 Corinthians 8:11	And through your knowledge, he who is weak perishes, the brother for whose sake Christ died.
1 Corinthians 8:12	Thus, sinning against the brothers, and wounding their conscience when it is weak, you sin against Christ.
1 Corinthians 8:13	Therefore, if food causes my brother to stumble, I will eat no meat forevermore, that I don’t cause my brother to stumble.
1 Corinthians 9:1	Am I not free? Am I not an apostle? Haven’t I seen Jesus Christ, our Lord? Aren’t you my work in the Lord?
1 Corinthians 9:2	If to others I am not an apostle, yet at least I am to you; for you are the seal of my apostleship in the Lord.
1 Corinthians 9:3	My defense to those who examine me is this.
1 Corinthians 9:4	Have we no right to eat and to drink?
1 Corinthians 9:5	Have we no right to take along a wife who is a believer, even as the rest of the apostles, and the brothers of the Lord, and Cephas?
1 Corinthians 9:6	Or have only Barnabas and I no right to not work?
1 Corinthians 9:7	What soldier ever serves at his own expense? Who plants a vineyard, and doesn’t eat of its fruit? Or who feeds a flock, and doesn’t drink from the flock’s milk?
1 Corinthians 9:8	Do I speak these things according to the ways of men? Or doesn’t the law also say the same thing?
1 Corinthians 9:9	For it is written in the law of Moses, “You shall not muzzle an ox while it treads out the grain.” Is it for the oxen that God cares,
1 Corinthians 9:10	or does he say it assuredly for our sake? Yes, it was written for our sake, because he who plows ought to plow in hope, and he who threshes in hope should partake of his hope.
1 Corinthians 9:11	If we sowed to you spiritual things, is it a great thing if we reap your fleshly things?
1 Corinthians 9:12	If others partake of this right over you, don’t we yet more? Nevertheless we did not use this right, but we bear all things, that we may cause no hindrance to the Good News of Christ.
1 Corinthians 9:13	Don’t you know that those who serve around sacred things eat from the things of the temple, and those who wait on the altar have their portion with the altar?
1 Corinthians 9:14	Even so the Lord ordained that those who proclaim the Good News should live from the Good News.
1 Corinthians 9:15	But I have used none of these things, and I don’t write these things that it may be done so in my case; for I would rather die, than that anyone should make my boasting void.
1 Corinthians 9:16	For if I preach the Good News, I have nothing to boast about; for necessity is laid on me; but woe is to me, if I don’t preach the Good News.
1 Corinthians 9:17	For if I do this of my own will, I have a reward. But if not of my own will, I have a stewardship entrusted to me.
1 Corinthians 9:18	What then is my reward? That, when I preach the Good News, I may present the Good News of Christ without charge, so as not to abuse my authority in the Good News.
1 Corinthians 9:19	For though I was free from all, I brought myself under bondage to all, that I might gain the more.
1 Corinthians 9:20	To the Jews I became as a Jew, that I might gain Jews; to those who are under the law, as under the law, that I might gain those who are under the law;
1 Corinthians 9:21	to those who are without law, as without law (not being without law toward God, but under law toward Christ), that I might win those who are without law.
1 Corinthians 9:22	To the weak I became as weak, that I might gain the weak. I have become all things to all men, that I may by all means save some.
1 Corinthians 9:23	Now I do this for the sake of the Good News, that I may be a joint partaker of it.
1 Corinthians 9:24	Don’t you know that those who run in a race all run, but one receives the prize? Run like that, that you may win.
1 Corinthians 9:25	Every man who strives in the games exercises self-control in all things. Now they do it to receive a corruptible crown, but we an incorruptible.
1 Corinthians 9:26	I therefore run like that, as not uncertainly. I fight like that, as not beating the air,
1 Corinthians 9:27	but I beat my body and bring it into submission, lest by any means, after I have preached to others, I myself should be rejected.
1 Corinthians 10:1	Now I would not have you ignorant, brothers, that our fathers were all under the cloud, and all passed through the sea;
1 Corinthians 10:2	and were all baptized into Moses in the cloud and in the sea;
1 Corinthians 10:3	and all ate the same spiritual food;
1 Corinthians 10:4	and all drank the same spiritual drink. For they drank of a spiritual rock that followed them, and the rock was Christ.
1 Corinthians 10:5	However with most of them, God was not well pleased, for they were overthrown in the wilderness.
1 Corinthians 10:6	Now these things were our examples, to the intent we should not lust after evil things, as they also lusted.
1 Corinthians 10:7	Neither be idolaters, as some of them were. As it is written, “The people sat down to eat and drink, and rose up to play.”
1 Corinthians 10:8	Neither let us commit sexual immorality, as some of them committed, and in one day twenty-three thousand fell.
1 Corinthians 10:9	Neither let us test the Lord, as some of them tested, and perished by the serpents.
1 Corinthians 10:10	Neither grumble, as some of them also grumbled, and perished by the destroyer.
1 Corinthians 10:11	Now all these things happened to them by way of example, and they were written for our admonition, on whom the ends of the ages have come.
1 Corinthians 10:12	Therefore let him who thinks he stands be careful that he doesn’t fall.
1 Corinthians 10:13	No temptation has taken you except what is common to man. God is faithful, who will not allow you to be tempted above what you are able, but will with the temptation also make the way of escape, that you may be able to endure it.
1 Corinthians 10:14	Therefore, my beloved, flee from idolatry.
1 Corinthians 10:15	I speak as to wise men. Judge what I say.
1 Corinthians 10:16	The cup of blessing which we bless, isn’t it a sharing of the blood of Christ? The bread which we break, isn’t it a sharing of the body of Christ?
1 Corinthians 10:17	Because there is one loaf of bread, we, who are many, are one body; for we all partake of the one loaf of bread.
1 Corinthians 10:18	Consider Israel according to the flesh. Don’t those who eat the sacrifices participate in the altar?
1 Corinthians 10:19	What am I saying then? That a thing sacrificed to idols is anything, or that an idol is anything?
1 Corinthians 10:20	But I say that the things which the Gentiles sacrifice, they sacrifice to demons, and not to God, and I don’t desire that you would have fellowship with demons.
1 Corinthians 10:21	You can’t both drink the cup of the Lord and the cup of demons. You can’t both partake of the table of the Lord, and of the table of demons.
1 Corinthians 10:22	Or do we provoke the Lord to jealousy? Are we stronger than he?
1 Corinthians 10:23	“All things are lawful for me,” but not all things are profitable. “All things are lawful for me,” but not all things build up.
1 Corinthians 10:24	Let no one seek his own, but each one his neighbor’s good.
1 Corinthians 10:25	Whatever is sold in the butcher shop, eat, asking no question for the sake of conscience,
1 Corinthians 10:26	for “the earth is the Lord’s, and its fullness.”
1 Corinthians 10:27	But if one of those who don’t believe invites you to a meal, and you are inclined to go, eat whatever is set before you, asking no questions for the sake of conscience.
1 Corinthians 10:28	But if anyone says to you, “This was offered to idols,” don’t eat it for the sake of the one who told you, and for the sake of conscience. For “the earth is the Lord’s, and all its fullness.”
1 Corinthians 10:29	Conscience, I say, not your own, but the other’s conscience. For why is my liberty judged by another conscience?
1 Corinthians 10:30	If I partake with thankfulness, why am I denounced for that for which I give thanks?
1 Corinthians 10:31	Whether therefore you eat, or drink, or whatever you do, do all to the glory of God.
1 Corinthians 10:32	Give no occasions for stumbling, either to Jews, or to Greeks, or to the assembly of God;
1 Corinthians 10:33	even as I also please all men in all things, not seeking my own profit, but the profit of the many, that they may be saved.
1 Corinthians 11:1	Be imitators of me, even as I also am of Christ.
1 Corinthians 11:2	Now I praise you, brothers, that you remember me in all things, and hold firm the traditions, even as I delivered them to you.
1 Corinthians 11:3	But I would have you know that the head of every man is Christ, and the head of the woman is the man, and the head of Christ is God.
1 Corinthians 11:4	Every man praying or prophesying, having his head covered, dishonors his head.
1 Corinthians 11:5	But every woman praying or prophesying with her head unveiled dishonors her head. For it is one and the same thing as if she were shaved.
1 Corinthians 11:6	For if a woman is not covered, let her also be shorn. But if it is shameful for a woman to be shorn or shaved, let her be covered.
1 Corinthians 11:7	For a man indeed ought not to have his head covered, because he is the image and glory of God, but the woman is the glory of the man.
1 Corinthians 11:8	For man is not from woman, but woman from man;
1 Corinthians 11:9	for neither was man created for the woman, but woman for the man.
1 Corinthians 11:10	For this cause the woman ought to have authority on her head, because of the angels.
1 Corinthians 11:11	Nevertheless, neither is the woman independent of the man, nor the man independent of the woman, in the Lord.
1 Corinthians 11:12	For as woman came from man, so a man also comes through a woman; but all things are from God.
1 Corinthians 11:13	Judge for yourselves. Is it appropriate that a woman pray to God unveiled?
1 Corinthians 11:14	Doesn’t even nature itself teach you that if a man has long hair, it is a dishonor to him?
1 Corinthians 11:15	But if a woman has long hair, it is a glory to her, for her hair is given to her for a covering.
1 Corinthians 11:16	But if any man seems to be contentious, we have no such custom, neither do God’s assemblies.
1 Corinthians 11:17	But in giving you this command, I don’t praise you, that you come together not for the better but for the worse.
1 Corinthians 11:18	For first of all, when you come together in the assembly, I hear that divisions exist among you, and I partly believe it.
1 Corinthians 11:19	For there also must be factions among you, that those who are approved may be revealed among you.
1 Corinthians 11:20	When therefore you assemble yourselves together, it is not the Lord’s supper that you eat.
1 Corinthians 11:21	For in your eating each one takes his own supper first. One is hungry, and another is drunken.
1 Corinthians 11:22	What, don’t you have houses to eat and to drink in? Or do you despise God’s assembly, and put them to shame who don’t have? What shall I tell you? Shall I praise you? In this I don’t praise you.
1 Corinthians 11:23	For I received from the Lord that which also I delivered to you, that the Lord Jesus on the night in which he was betrayed took bread.
1 Corinthians 11:24	When he had given thanks, he broke it, and said, “Take, eat. This is my body, which is broken for you. Do this in memory of me.”
1 Corinthians 11:25	In the same way he also took the cup, after supper, saying, “This cup is the new covenant in my blood. Do this, as often as you drink, in memory of me.”
1 Corinthians 11:26	For as often as you eat this bread and drink this cup, you proclaim the Lord’s death until he comes.
1 Corinthians 11:27	Therefore whoever eats this bread or drinks the Lord’s cup in a way unworthy of the Lord will be guilty of the body and the blood of the Lord.
1 Corinthians 11:28	But let a man examine himself, and so let him eat of the bread, and drink of the cup.
1 Corinthians 11:29	For he who eats and drinks in an unworthy way eats and drinks judgment to himself, if he doesn’t discern the Lord’s body.
1 Corinthians 11:30	For this cause many among you are weak and sickly, and not a few sleep.
1 Corinthians 11:31	For if we discerned ourselves, we wouldn’t be judged.
1 Corinthians 11:32	But when we are judged, we are punished by the Lord, that we may not be condemned with the world.
1 Corinthians 11:33	Therefore, my brothers, when you come together to eat, wait for one another.
1 Corinthians 11:34	But if anyone is hungry, let him eat at home, lest your coming together be for judgment. The rest I will set in order whenever I come.
1 Corinthians 12:1	Now concerning spiritual things, brothers, I don’t want you to be ignorant.
1 Corinthians 12:2	You know that when you were heathen, you were led away to those mute idols, however you might be led.
1 Corinthians 12:3	Therefore I make known to you that no man speaking by God’s Spirit says, “Jesus is accursed.” No one can say, “Jesus is Lord,” but by the Holy Spirit.
1 Corinthians 12:4	Now there are various kinds of gifts, but the same Spirit.
1 Corinthians 12:5	There are various kinds of service, and the same Lord.
1 Corinthians 12:6	There are various kinds of workings, but the same God, who works all things in all.
1 Corinthians 12:7	But to each one is given the manifestation of the Spirit for the profit of all.
1 Corinthians 12:8	For to one is given through the Spirit the word of wisdom, and to another the word of knowledge, according to the same Spirit;
1 Corinthians 12:9	to another faith, by the same Spirit; and to another gifts of healings, by the same Spirit;
1 Corinthians 12:10	and to another workings of miracles; and to another prophecy; and to another discerning of spirits; to another different kinds of languages; and to another the interpretation of languages.
1 Corinthians 12:11	But the one and the same Spirit works all of these, distributing to each one separately as he desires.
1 Corinthians 12:12	For as the body is one, and has many members, and all the members of the body, being many, are one body; so also is Christ.
1 Corinthians 12:13	For in one Spirit we were all baptized into one body, whether Jews or Greeks, whether bond or free; and were all given to drink into one Spirit.
1 Corinthians 12:14	For the body is not one member, but many.
1 Corinthians 12:15	If the foot would say, “Because I’m not the hand, I’m not part of the body,” it is not therefore not part of the body.
1 Corinthians 12:16	If the ear would say, “Because I’m not the eye, I’m not part of the body,” it’s not therefore not part of the body.
1 Corinthians 12:17	If the whole body were an eye, where would the hearing be? If the whole were hearing, where would the smelling be?
1 Corinthians 12:18	But now God has set the members, each one of them, in the body, just as he desired.
1 Corinthians 12:19	If they were all one member, where would the body be?
1 Corinthians 12:20	But now they are many members, but one body.
1 Corinthians 12:21	The eye can’t tell the hand, “I have no need for you,” or again the head to the feet, “I have no need for you.”
1 Corinthians 12:22	No, much rather, those members of the body which seem to be weaker are necessary.
1 Corinthians 12:23	Those parts of the body which we think to be less honorable, on those we bestow more abundant honor; and our unpresentable parts have more abundant propriety;
1 Corinthians 12:24	whereas our presentable parts have no such need. But God composed the body together, giving more abundant honor to the inferior part,
1 Corinthians 12:25	that there should be no division in the body, but that the members should have the same care for one another.
1 Corinthians 12:26	When one member suffers, all the members suffer with it. Or when one member is honored, all the members rejoice with it.
1 Corinthians 12:27	Now you are the body of Christ, and members individually.
1 Corinthians 12:28	God has set some in the assembly: first apostles, second prophets, third teachers, then miracle workers, then gifts of healings, helps, governments, and various kinds of languages.
1 Corinthians 12:29	Are all apostles? Are all prophets? Are all teachers? Are all miracle workers?
1 Corinthians 12:30	Do all have gifts of healings? Do all speak with various languages? Do all interpret?
1 Corinthians 12:31	But earnestly desire the best gifts. Moreover, I show a most excellent way to you.
1 Corinthians 13:1	If I speak with the languages of men and of angels, but don’t have love, I have become sounding brass, or a clanging cymbal.
1 Corinthians 13:2	If I have the gift of prophecy, and know all mysteries and all knowledge; and if I have all faith, so as to remove mountains, but don’t have love, I am nothing.
1 Corinthians 13:3	If I dole out all my goods to feed the poor, and if I give my body to be burned, but don’t have love, it profits me nothing.
1 Corinthians 13:4	Love is patient and is kind; love doesn’t envy. Love doesn’t brag, is not proud,
1 Corinthians 13:5	doesn’t behave itself inappropriately, doesn’t seek its own way, is not provoked, takes no account of evil;
1 Corinthians 13:6	doesn’t rejoice in unrighteousness, but rejoices with the truth;
1 Corinthians 13:7	bears all things, believes all things, hopes all things, endures all things.
1 Corinthians 13:8	Love never fails. But where there are prophecies, they will be done away with. Where there are various languages, they will cease. Where there is knowledge, it will be done away with.
1 Corinthians 13:9	For we know in part, and we prophesy in part;
1 Corinthians 13:10	but when that which is complete has come, then that which is partial will be done away with.
1 Corinthians 13:11	When I was a child, I spoke as a child, I felt as a child, I thought as a child. Now that I have become a man, I have put away childish things.
1 Corinthians 13:12	For now we see in a mirror, dimly, but then face to face. Now I know in part, but then I will know fully, even as I was also fully known.
1 Corinthians 13:13	But now faith, hope, and love remain—these three. The greatest of these is love.
1 Corinthians 14:1	Follow after love, and earnestly desire spiritual gifts, but especially that you may prophesy.
1 Corinthians 14:2	For he who speaks in another language speaks not to men, but to God; for no one understands; but in the Spirit he speaks mysteries.
1 Corinthians 14:3	But he who prophesies speaks to men for their edification, exhortation, and consolation.
1 Corinthians 14:4	He who speaks in another language edifies himself, but he who prophesies edifies the assembly.
1 Corinthians 14:5	Now I desire to have you all speak with other languages, but rather that you would prophesy. For he is greater who prophesies than he who speaks with other languages, unless he interprets, that the assembly may be built up.
1 Corinthians 14:6	But now, brothers, if I come to you speaking with other languages, what would I profit you, unless I speak to you either by way of revelation, or of knowledge, or of prophesying, or of teaching?
1 Corinthians 14:7	Even things without life, giving a voice, whether pipe or harp, if they didn’t give a distinction in the sounds, how would it be known what is piped or harped?
1 Corinthians 14:8	For if the trumpet gave an uncertain sound, who would prepare himself for war?
1 Corinthians 14:9	So also you, unless you uttered by the tongue words easy to understand, how would it be known what is spoken? For you would be speaking into the air.
1 Corinthians 14:10	There are, it may be, so many kinds of sounds in the world, and none of them is without meaning.
1 Corinthians 14:11	If then I don’t know the meaning of the sound, I would be to him who speaks a foreigner, and he who speaks would be a foreigner to me.
1 Corinthians 14:12	So also you, since you are zealous for spiritual gifts, seek that you may abound to the building up of the assembly.
1 Corinthians 14:13	Therefore let him who speaks in another language pray that he may interpret.
1 Corinthians 14:14	For if I pray in another language, my spirit prays, but my understanding is unfruitful.
1 Corinthians 14:15	What is it then? I will pray with the spirit, and I will pray with the understanding also. I will sing with the spirit, and I will sing with the understanding also.
1 Corinthians 14:16	Otherwise if you bless with the spirit, how will he who fills the place of the unlearned say the “Amen” at your giving of thanks, seeing he doesn’t know what you say?
1 Corinthians 14:17	For you most certainly give thanks well, but the other person is not built up.
1 Corinthians 14:18	I thank my God, I speak with other languages more than you all.
1 Corinthians 14:19	However in the assembly I would rather speak five words with my understanding, that I might instruct others also, than ten thousand words in another language.
1 Corinthians 14:20	Brothers, don’t be children in thoughts, yet in malice be babies, but in thoughts be mature.
1 Corinthians 14:21	In the law it is written, “By men of strange languages and by the lips of strangers I will speak to this people. Not even thus will they hear me, says the Lord.”
1 Corinthians 14:22	Therefore other languages are for a sign, not to those who believe, but to the unbelieving; but prophesying is for a sign, not to the unbelieving, but to those who believe.
1 Corinthians 14:23	If therefore the whole assembly is assembled together and all speak with other languages, and unlearned or unbelieving people come in, won’t they say that you are crazy?
1 Corinthians 14:24	But if all prophesy, and someone unbelieving or unlearned comes in, he is reproved by all, and he is judged by all.
1 Corinthians 14:25	And thus the secrets of his heart are revealed. So he will fall down on his face and worship God, declaring that God is among you indeed.
1 Corinthians 14:26	What is it then, brothers? When you come together, each one of you has a psalm, has a teaching, has a revelation, has another language, has an interpretation. Let all things be done to build each other up.
1 Corinthians 14:27	If any man speaks in another language, let it be two, or at the most three, and in turn; and let one interpret.
1 Corinthians 14:28	But if there is no interpreter, let him keep silent in the assembly, and let him speak to himself, and to God.
1 Corinthians 14:29	Let the prophets speak, two or three, and let the others discern.
1 Corinthians 14:30	But if a revelation is made to another sitting by, let the first keep silent.
1 Corinthians 14:31	For you all can prophesy one by one, that all may learn, and all may be exhorted.
1 Corinthians 14:32	The spirits of the prophets are subject to the prophets,
1 Corinthians 14:33	for God is not a God of confusion, but of peace. As in all the assemblies of the saints,
1 Corinthians 14:34	let your wives keep silent in the assemblies, for it has not been permitted for them to speak; but let them be in subjection, as the law also says.
1 Corinthians 14:35	If they desire to learn anything, let them ask their own husbands at home, for it is shameful for a woman to chatter in the assembly.
1 Corinthians 14:36	What? Was it from you that the word of God went out? Or did it come to you alone?
1 Corinthians 14:37	If any man thinks himself to be a prophet, or spiritual, let him recognize the things which I write to you, that they are the commandment of the Lord.
1 Corinthians 14:38	But if anyone is ignorant, let him be ignorant.
1 Corinthians 14:39	Therefore, brothers, desire earnestly to prophesy, and don’t forbid speaking with other languages.
1 Corinthians 14:40	Let all things be done decently and in order.
1 Corinthians 15:1	Now I declare to you, brothers, the Good News which I preached to you, which also you received, in which you also stand,
1 Corinthians 15:2	by which also you are saved, if you hold firmly the word which I preached to you—unless you believed in vain.
1 Corinthians 15:3	For I delivered to you first of all that which I also received: that Christ died for our sins according to the Scriptures,
1 Corinthians 15:4	that he was buried, that he was raised on the third day according to the Scriptures,
1 Corinthians 15:5	and that he appeared to Cephas, then to the twelve.
1 Corinthians 15:6	Then he appeared to over five hundred brothers at once, most of whom remain until now, but some have also fallen asleep.
1 Corinthians 15:7	Then he appeared to James, then to all the apostles,
1 Corinthians 15:8	and last of all, as to the child born at the wrong time, he appeared to me also.
1 Corinthians 15:9	For I am the least of the apostles, who is not worthy to be called an apostle, because I persecuted the assembly of God.
1 Corinthians 15:10	But by the grace of God I am what I am. His grace which was bestowed on me was not futile, but I worked more than all of them; yet not I, but the grace of God which was with me.
1 Corinthians 15:11	Whether then it is I or they, so we preach, and so you believed.
1 Corinthians 15:12	Now if Christ is preached, that he has been raised from the dead, how do some among you say that there is no resurrection of the dead?
1 Corinthians 15:13	But if there is no resurrection of the dead, neither has Christ been raised.
1 Corinthians 15:14	If Christ has not been raised, then our preaching is in vain, and your faith also is in vain.
1 Corinthians 15:15	Yes, we are found false witnesses of God, because we testified about God that he raised up Christ, whom he didn’t raise up, if it is so that the dead are not raised.
1 Corinthians 15:16	For if the dead aren’t raised, neither has Christ been raised.
1 Corinthians 15:17	If Christ has not been raised, your faith is vain; you are still in your sins.
1 Corinthians 15:18	Then they also who are fallen asleep in Christ have perished.
1 Corinthians 15:19	If we have only hoped in Christ in this life, we are of all men most pitiable.
1 Corinthians 15:20	But now Christ has been raised from the dead. He became the first fruits of those who are asleep.
1 Corinthians 15:21	For since death came by man, the resurrection of the dead also came by man.
1 Corinthians 15:22	For as in Adam all die, so also in Christ all will be made alive.
1 Corinthians 15:23	But each in his own order: Christ the first fruits, then those who are Christ’s, at his coming.
1 Corinthians 15:24	Then the end comes, when he will deliver up the Kingdom to God, even the Father; when he will have abolished all rule and all authority and power.
1 Corinthians 15:25	For he must reign until he has put all his enemies under his feet.
1 Corinthians 15:26	The last enemy that will be abolished is death.
1 Corinthians 15:27	For, “He put all things in subjection under his feet.” But when he says, “All things are put in subjection,” it is evident that he is excepted who subjected all things to him.
1 Corinthians 15:28	When all things have been subjected to him, then the Son will also himself be subjected to him who subjected all things to him, that God may be all in all.
1 Corinthians 15:29	Or else what will they do who are baptized for the dead? If the dead aren’t raised at all, why then are they baptized for the dead?
1 Corinthians 15:30	Why do we also stand in jeopardy every hour?
1 Corinthians 15:31	I affirm, by the boasting in you which I have in Christ Jesus our Lord, I die daily.
1 Corinthians 15:32	If I fought with animals at Ephesus for human purposes, what does it profit me? If the dead are not raised, then “let us eat and drink, for tomorrow we die.”
1 Corinthians 15:33	Don’t be deceived! “Evil companionships corrupt good morals.”
1 Corinthians 15:34	Wake up righteously, and don’t sin, for some have no knowledge of God. I say this to your shame.
1 Corinthians 15:35	But someone will say, “How are the dead raised?” and, “With what kind of body do they come?”
1 Corinthians 15:36	You foolish one, that which you yourself sow is not made alive unless it dies.
1 Corinthians 15:37	That which you sow, you don’t sow the body that will be, but a bare grain, maybe of wheat, or of some other kind.
1 Corinthians 15:38	But God gives it a body even as it pleased him, and to each seed a body of its own.
1 Corinthians 15:39	All flesh is not the same flesh, but there is one flesh of men, another flesh of animals, another of fish, and another of birds.
1 Corinthians 15:40	There are also celestial bodies, and terrestrial bodies; but the glory of the celestial differs from that of the terrestrial.
1 Corinthians 15:41	There is one glory of the sun, another glory of the moon, and another glory of the stars; for one star differs from another star in glory.
1 Corinthians 15:42	So also is the resurrection of the dead. It is sown in corruption; it is raised in incorruption.
1 Corinthians 15:43	It is sown in dishonor; it is raised in glory. It is sown in weakness; it is raised in power.
1 Corinthians 15:44	It is sown a natural body; it is raised a spiritual body. There is a natural body and there is also a spiritual body.
1 Corinthians 15:45	So also it is written, “The first man, Adam, became a living soul.” The last Adam became a life-giving spirit.
1 Corinthians 15:46	However that which is spiritual isn’t first, but that which is natural, then that which is spiritual.
1 Corinthians 15:47	The first man is of the earth, made of dust. The second man is the Lord from heaven.
1 Corinthians 15:48	As is the one made of dust, such are those who are also made of dust; and as is the heavenly, such are they also that are heavenly.
1 Corinthians 15:49	As we have borne the image of those made of dust, let’s also bear the image of the heavenly.
1 Corinthians 15:50	Now I say this, brothers, that flesh and blood can’t inherit the Kingdom of God; neither does corruption inherit incorruption.
1 Corinthians 15:51	Behold, I tell you a mystery. We will not all sleep, but we will all be changed,
1 Corinthians 15:52	in a moment, in the twinkling of an eye, at the last trumpet. For the trumpet will sound, and the dead will be raised incorruptible, and we will be changed.
1 Corinthians 15:53	For this corruptible must put on incorruption, and this mortal must put on immortality.
1 Corinthians 15:54	But when this corruptible will have put on incorruption, and this mortal will have put on immortality, then what is written will happen: “Death is swallowed up in victory.”
1 Corinthians 15:55	“Death, where is your sting? Hades, where is your victory?”
1 Corinthians 15:56	The sting of death is sin, and the power of sin is the law.
1 Corinthians 15:57	But thanks be to God, who gives us the victory through our Lord Jesus Christ.
1 Corinthians 15:58	Therefore, my beloved brothers, be steadfast, immovable, always abounding in the Lord’s work, because you know that your labor is not in vain in the Lord.
1 Corinthians 16:1	Now concerning the collection for the saints, as I commanded the assemblies of Galatia, you do likewise.
1 Corinthians 16:2	On the first day of the week, let each one of you save, as he may prosper, that no collections be made when I come.
1 Corinthians 16:3	When I arrive, I will send whoever you approve with letters to carry your gracious gift to Jerusalem.
1 Corinthians 16:4	If it is appropriate for me to go also, they will go with me.
1 Corinthians 16:5	But I will come to you when I have passed through Macedonia, for I am passing through Macedonia.
1 Corinthians 16:6	But with you it may be that I will stay, or even winter, that you may send me on my journey wherever I go.
1 Corinthians 16:7	For I do not wish to see you now in passing, but I hope to stay a while with you, if the Lord permits.
1 Corinthians 16:8	But I will stay at Ephesus until Pentecost,
1 Corinthians 16:9	for a great and effective door has opened to me, and there are many adversaries.
1 Corinthians 16:10	Now if Timothy comes, see that he is with you without fear, for he does the work of the Lord, as I also do.
1 Corinthians 16:11	Therefore let no one despise him. But set him forward on his journey in peace, that he may come to me; for I expect him with the brothers.
1 Corinthians 16:12	Now concerning Apollos, the brother, I strongly urged him to come to you with the brothers; and it was not at all his desire to come now; but he will come when he has an opportunity.
1 Corinthians 16:13	Watch! Stand firm in the faith! Be courageous! Be strong!
1 Corinthians 16:14	Let all that you do be done in love.
1 Corinthians 16:15	Now I beg you, brothers (you know the house of Stephanas, that it is the first fruits of Achaia, and that they have set themselves to serve the saints),
1 Corinthians 16:16	that you also be in subjection to such, and to everyone who helps in the work and labors.
1 Corinthians 16:17	I rejoice at the coming of Stephanas, Fortunatus, and Achaicus; for that which was lacking on your part, they supplied.
1 Corinthians 16:18	For they refreshed my spirit and yours. Therefore acknowledge those who are like that.
1 Corinthians 16:19	The assemblies of Asia greet you. Aquila and Priscilla greet you much in the Lord, together with the assembly that is in their house.
1 Corinthians 16:20	All the brothers greet you. Greet one another with a holy kiss.
1 Corinthians 16:21	This greeting is by me, Paul, with my own hand.
1 Corinthians 16:22	If any man doesn’t love the Lord Jesus Christ, let him be accursed. Come, Lord!
1 Corinthians 16:23	The grace of the Lord Jesus Christ be with you.
1 Corinthians 16:24	My love to all of you in Christ Jesus. Amen.
2 Corinthians 1:1	Paul, an apostle of Christ Jesus through the will of God, and Timothy our brother, to the assembly of God which is at Corinth, with all the saints who are in the whole of Achaia:
2 Corinthians 1:2	Grace to you and peace from God our Father and the Lord Jesus Christ.
2 Corinthians 1:3	Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort;
2 Corinthians 1:4	who comforts us in all our affliction, that we may be able to comfort those who are in any affliction, through the comfort with which we ourselves are comforted by God.
2 Corinthians 1:5	For as the sufferings of Christ abound to us, even so our comfort also abounds through Christ.
2 Corinthians 1:6	But if we are afflicted, it is for your comfort and salvation. If we are comforted, it is for your comfort, which produces in you the patient enduring of the same sufferings which we also suffer.
2 Corinthians 1:7	Our hope for you is steadfast, knowing that, since you are partakers of the sufferings, so also are you of the comfort.
2 Corinthians 1:8	For we don’t desire to have you uninformed, brothers, concerning our affliction which happened to us in Asia, that we were weighed down exceedingly, beyond our power, so much that we despaired even of life.
2 Corinthians 1:9	Yes, we ourselves have had the sentence of death within ourselves, that we should not trust in ourselves, but in God who raises the dead,
2 Corinthians 1:10	who delivered us out of so great a death, and does deliver; on whom we have set our hope that he will also still deliver us;
2 Corinthians 1:11	you also helping together on our behalf by your supplication; that, for the gift bestowed on us by means of many, thanks may be given by many persons on your behalf.
2 Corinthians 1:12	For our boasting is this: the testimony of our conscience, that in holiness and sincerity of God, not in fleshly wisdom but in the grace of God we behaved ourselves in the world, and more abundantly toward you.
2 Corinthians 1:13	For we write no other things to you, than what you read or even acknowledge, and I hope you will acknowledge to the end;
2 Corinthians 1:14	as also you acknowledged us in part, that we are your boasting, even as you also are ours, in the day of our Lord Jesus.
2 Corinthians 1:15	In this confidence, I was determined to come first to you, that you might have a second benefit;
2 Corinthians 1:16	and by you to pass into Macedonia, and again from Macedonia to come to you, and to be sent forward by you on my journey to Judea.
2 Corinthians 1:17	When I therefore was thus determined, did I show fickleness? Or the things that I purpose, do I purpose according to the flesh, that with me there should be the “Yes, yes” and the “No, no?”
2 Corinthians 1:18	But as God is faithful, our word toward you was not “Yes and no.”
2 Corinthians 1:19	For the Son of God, Jesus Christ, who was preached among you by us, by me, Silvanus, and Timothy, was not “Yes and no,” but in him is “Yes.”
2 Corinthians 1:20	For however many are the promises of God, in him is the “Yes.” Therefore also through him is the “Amen,” to the glory of God through us.
2 Corinthians 1:21	Now he who establishes us with you in Christ, and anointed us, is God;
2 Corinthians 1:22	who also sealed us, and gave us the down payment of the Spirit in our hearts.
